iter	Passed	Remaining
0	1699	1698258
1	3432	1712734
2	5087	1690644
3	6761	1683719
4	8405	1672676
5	9991	1655314
6	11617	1648067
7	13299	1649144
8	14817	1631524
9	16493	1632900
10	18168	1633478
11	20314	1672551
12	22343	1696368
13	23962	1687629
14	25523	1676018
15	27175	1671291
16	28730	1661296
17	30543	1666342
18	32404	1673111
19	34169	1674302
20	35773	1667746
21	37515	1667743
22	39144	1662776
23	40722	1656039
24	42278	1648859
25	43894	1644365
26	45497	1639604
27	47494	1648728
28	48961	1639356
29	50436	1630781
30	52129	1629460
31	53683	1623915
32	55336	1621519
33	57052	1620967
34	58725	1619138
35	60252	1613424
36	61903	1611154
37	63561	1609104
38	65058	1603120
39	66591	1598205
40	68222	1595737
41	69666	1589059
42	71249	1585712
43	73068	1587570
44	74572	1582600
45	76226	1580880
46	77788	1577287
47	79365	1574086
48	80935	1570818
49	82515	1567803
50	84161	1566070
51	86144	1570488
52	87919	1570936
53	89840	1573875
54	91517	1572439
55	93211	1571280
56	94781	1568045
57	96398	1565644
58	98002	1563050
59	99544	1559537
60	101163	1557248
61	102804	1555334
62	104416	1552987
63	106017	1550501
64	107526	1546726
65	109170	1544929
66	110670	1541123
67	112205	1537879
68	114055	1538921
69	115723	1537465
70	117548	1538070
71	119208	1536462
72	120794	1533925
73	122445	1532219
74	124133	1530978
75	125770	1529099
76	127790	1531829
77	129634	1532346
78	131419	1532114
79	132925	1528646
80	134767	1529024
81	136541	1528596
82	138309	1528069
83	140097	1527733
84	141609	1524382
85	143204	1521964
86	144844	1520037
87	146454	1517797
88	148142	1516376
89	149851	1515167
90	151426	1512600
91	153363	1513627
92	155918	1520627
93	157671	1519681
94	159486	1519316
95	161428	1520118
96	163391	1521055
97	166278	1530441
98	168679	1535150
99	170645	1535811
100	172513	1535542
101	174714	1538168
102	177676	1547340
103	180255	1552969
104	183391	1563191
105	184978	1560105
106	187231	1562595
107	189192	1562587
108	190929	1560717
109	193491	1565525
110	196462	1573467
111	198706	1575460
112	201887	1584727
113	203904	1584731
114	205805	1583809
115	207539	1581591
116	209269	1579356
117	210967	1576891
118	212818	1575574
119	214544	1573326
120	216088	1569767
121	218148	1569953
122	220049	1568970
123	221620	1565640
124	223162	1562139
125	224789	1559254
126	226393	1556233
127	227909	1552632
128	229423	1549055
129	231095	1546560
130	232751	1543978
131	234435	1541588
132	236158	1539472
133	237934	1537698
134	239534	1534793
135	241105	1531732
136	242668	1528635
137	244548	1527541
138	246200	1525024
139	247831	1522392
140	250076	1523514
141	252941	1528335
142	255645	1532086
143	257854	1532801
144	259834	1532130
145	261636	1530391
146	263364	1528233
147	264867	1524777
148	266698	1523222
149	268458	1521264
150	270386	1520253
151	272108	1518078
152	273855	1516051
153	275770	1514944
154	277368	1512107
155	278950	1509192
156	280560	1506449
157	282210	1503930
158	283813	1501178
159	285376	1498228
160	286966	1495433
161	288535	1492547
162	290053	1489414
163	291650	1486705
164	293266	1484105
165	294930	1481757
166	296674	1479820
167	298292	1477256
168	299942	1474865
169	301555	1472299
170	303025	1469053
171	304571	1466191
172	306269	1464073
173	307879	1461543
174	309580	1459449
175	311156	1456776
176	312861	1454719
177	314407	1451928
178	316078	1449721
179	317563	1446679
180	319349	1445011
181	321166	1443482
182	323453	1444049
183	325060	1441570
184	326570	1438676
185	328265	1436602
186	330049	1434922
187	331836	1433250
188	333840	1432513
189	335676	1431040
190	339541	1438162
191	342715	1442263
192	344654	1441119
193	346369	1439040
194	349472	1442694
195	352053	1444137
196	355400	1448663
197	357907	1449705
198	360766	1452129
199	362532	1450129
200	364112	1447392
201	365739	1444852
202	367293	1442034
203	368834	1439176
204	370390	1436394
205	371879	1433360
206	373717	1431682
207	375468	1429667
208	377191	1427551
209	379521	1427723
210	381386	1426133
211	383440	1425241
212	385502	1424370
213	388799	1428022
214	390641	1426297
215	392505	1424649
216	394477	1423390
217	396410	1421985
218	400267	1427436
219	407083	1443297
220	411183	1449376
221	416123	1458308
222	418307	1457509
223	420804	1457786
224	422300	1454590
225	423791	1451392
226	425388	1448568
227	426821	1445201
228	428428	1442436
229	429953	1439410
230	431557	1436656
231	433392	1434677
232	435054	1432131
233	436568	1429107
234	438129	1426250
235	439741	1423569
236	441219	1420465
237	442866	1417918
238	444554	1415505
239	446208	1412993
